FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 17:38:52.113	135131.59912690
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
79.396	73.916	507.519
79.348	69.208	507.211
79.294	64.486	506.953
79.290	59.738	506.714
79.262	54.972	506.646
79.202	50.212	506.428
79.203	45.323	506.524
79.179	40.519	506.638
79.148	35.647	506.597
79.167	30.763	506.882
79.137	26.185	506.958
79.183	21.377	507.336
79.062	16.772	507.523
79.113	12.183	507.782
79.104	7.507	508.321
79.094	3.121	508.657
79.022	-1.124	509.030
79.059	-5.426	509.555
79.037	-9.566	510.149
78.963	-13.456	510.579
78.996	-17.449	511.002
78.975	-21.036	511.569
79.014	-24.765	512.103
78.979	-28.324	512.748
78.983	-31.557	513.246
78.976	-34.670	513.731
77.967	-35.525	513.913
78.026	-38.282	514.436
78.018	-40.810	514.918
77.964	-43.250	515.402
77.953	-45.484	515.952
77.942	-47.508	516.368
77.962	-49.293	516.686
77.954	-50.830	517.045
77.915	-52.313	517.433
77.896	-53.545	517.690
77.941	-54.508	517.923
77.885	-55.269	518.136
77.874	-55.897	518.275
77.903	-56.223	518.330
77.915	-56.335	518.350
77.908	-56.286	518.310
77.890	-56.024	518.295
77.865	-55.498	518.144
77.948	-54.761	517.881
77.874	-53.933	517.702
77.949	-52.731	517.370
77.901	-51.442	517.157
77.874	-49.902	516.807
77.906	-48.171	516.433
77.919	-46.245	515.955
77.907	-44.088	515.514
77.934	-41.777	515.024
77.990	-39.275	514.351
78.016	-36.541	513.820
77.973	-33.724	513.312
78.009	-30.618	512.834
77.994	-27.391	512.239
78.040	-23.984	511.700
78.063	-20.516	511.016
78.084	-16.831	510.484
78.052	-13.052	509.954
78.113	-9.100	509.386
78.123	-5.100	508.993
78.140	-0.931	508.474
78.118	3.311	508.105
78.207	7.693	507.631
78.143	12.112	507.304
79.108	14.720	507.340
80.206	16.788	507.615
79.101	24.074	506.848
78.308	30.578	506.204
79.149	33.535	506.498
79.211	38.240	506.408
79.238	43.048	506.457
79.215	47.991	506.393
79.281	52.659	506.504
79.279	57.506	506.582
79.377	62.177	506.693
79.356	66.958	506.922
79.419	71.479	507.319
79.496	76.081	507.561
79.512	80.639	507.878
79.551	85.071	508.226
79.649	89.323	508.736
79.644	93.662	509.213
79.670	97.776	509.716
79.766	101.679	510.344
79.802	105.637	510.810
79.861	109.366	511.332
79.889	113.010	511.928
79.904	116.569	512.312
79.978	119.732	513.093
80.008	122.881	513.648
80.005	125.975	514.067
80.076	128.686	514.710
80.157	131.195	515.282
80.172	133.702	515.706
80.249	135.813	516.275
80.202	138.024	516.528
80.197	139.911	516.987
80.278	141.471	517.337
80.274	142.976	517.757
80.326	144.134	518.049
80.329	145.215	518.269
80.311	146.107	518.444
80.266	146.871	518.504
80.335	147.130	518.654
80.283	147.441	518.662
80.285	147.398	518.672
80.331	147.099	518.650
80.255	146.789	518.529
80.311	145.993	518.419
80.309	145.100	518.237
80.300	144.018	517.970
80.231	142.833	517.667
80.220	141.328	517.296
80.166	139.782	516.810
80.146	137.886	516.439
80.115	135.835	515.988
80.043	133.677	515.510
80.036	131.210	515.004
80.004	128.569	514.534
79.898	125.918	513.921
79.887	122.908	513.412
79.866	119.767	512.836
79.812	116.521	512.179
79.738	113.119	511.672
79.765	109.347	511.182
79.737	105.546	510.724
79.668	101.735	510.163
79.582	97.854	509.543
79.550	93.750	509.048
79.468	89.556	508.586
79.478	85.174	508.114
79.467	80.725	507.918
79.395	76.347	507.459
79.353	71.791	507.212
79.296	67.320	506.860
79.337	62.580	506.804
79.303	57.853	506.685
79.239	53.178	506.568
79.168	48.545	506.343
79.172	43.705	506.336
79.170	38.948	506.379
79.200	34.192	506.497
79.184	29.524	506.629
79.162	24.843	506.839
78.170	22.166	506.598
79.133	15.581	507.317
79.152	11.036	507.632
80.240	4.084	508.402
79.144	2.357	508.545
78.100	0.253	508.370
78.159	-3.733	508.741
78.054	-7.778	509.374
78.108	-11.595	509.752
78.028	-15.373	510.362
78.102	-18.979	510.781
78.076	-22.493	511.380
78.060	-25.786	511.975
78.008	-29.019	512.582
78.014	-31.994	513.081
77.996	-34.814	513.636
77.941	-37.565	514.311
77.959	-40.029	514.708
77.989	-42.367	515.105
77.967	-44.450	515.586
77.949	-46.376	516.010
77.933	-48.079	516.477
77.965	-49.568	516.676
77.974	-50.793	517.033
77.918	-51.974	517.327
77.967	-52.787	517.457
77.934	-53.543	517.665
77.922	-54.045	517.721
77.937	-54.301	517.880
77.936	-54.353	517.873
77.915	-54.252	517.884
77.895	-53.931	517.723
77.924	-53.324	517.629
77.935	-52.571	517.409
77.910	-51.662	517.209
77.919	-50.443	516.983
77.995	-49.086	516.668
77.908	-47.555	516.313
77.911	-45.767	515.953
77.937	-43.786	515.563
77.920	-41.618	515.088
77.960	-39.190	514.550
77.992	-36.620	513.969
78.909	-36.172	514.039
80.026	-35.809	514.036
78.905	-30.105	512.915
78.912	-26.949	512.382
78.055	-21.508	511.400
78.041	-18.018	510.828
78.990	-16.463	510.792
78.963	-12.643	510.466
78.988	-8.703	509.819
78.949	-4.668	509.480
79.008	-0.511	508.918
79.012	3.719	508.532
79.073	8.095	507.957
79.058	12.483	507.732
79.070	16.914	507.469
79.171	21.470	507.241
79.103	26.168	507.049
79.138	30.741	506.820
79.087	35.562	506.587
79.196	40.106	506.500
79.225	44.807	506.652
79.238	49.536	506.527
79.319	54.080	506.693
79.297	58.841	506.757
79.378	63.445	506.847
79.411	68.046	507.054
79.423	72.542	507.365
79.516	77.011	507.625
79.541	81.349	508.050
79.544	85.757	508.279
79.585	90.029	508.667
79.638	94.166	509.134
79.681	98.142	509.598
79.785	101.898	510.232
79.820	105.700	510.736
79.823	109.421	511.192
79.827	112.995	511.628
79.904	116.275	512.216
79.247	120.839	512.456
79.238	123.886	512.945
79.974	125.344	513.802
81.552	124.991	514.766
80.089	130.390	514.824
79.391	134.166	514.935
79.447	136.253	515.428
79.484	138.178	515.843
79.476	140.014	516.172
80.158	140.298	516.900
80.218	141.613	517.179
79.561	144.089	517.222
79.562	145.037	517.448
79.575	145.795	517.609
80.305	144.917	518.107
80.233	145.390	518.085
80.232	145.503	518.123
80.222	145.411	518.080
80.230	145.070	518.033
79.578	145.825	517.632
79.569	145.100	517.462
79.530	144.228	517.209
80.188	141.823	517.210
80.163	140.505	516.932
80.142	138.999	516.634
79.461	138.578	515.979
79.419	136.769	515.537
80.050	133.391	515.458
80.032	131.108	514.937
79.984	128.709	514.432
79.922	126.147	513.883
79.894	123.319	513.350
79.150	121.774	512.557
79.788	117.274	512.302
79.751	113.981	511.744
79.741	110.407	511.290
79.734	106.715	510.862
79.707	102.968	510.360
79.593	99.299	509.747
79.582	95.256	509.344
79.555	91.205	508.882
79.516	87.000	508.524
79.451	82.820	508.126
79.457	78.487	507.878
79.431	74.035	507.587
79.337	69.802	507.054
79.340	65.148	507.048
79.306	60.618	506.749
79.261	56.046	506.709
79.257	51.397	506.566
79.211	46.784	506.520
79.219	42.117	506.482
79.220	37.400	506.613
79.211	32.735	506.764
79.093	28.200	506.879
79.080	23.563	507.212
79.120	19.049	507.295
79.112	14.697	507.551
79.067	10.319	507.919
79.089	6.029	508.141
79.046	1.787	508.541
79.087	-2.350	509.021
79.103	-6.233	509.422
79.054	-10.232	509.933
78.141	-11.861	509.981
78.066	-15.479	510.507
78.116	-18.955	510.907
78.986	-24.480	512.005
80.072	-30.249	513.007
80.042	-33.338	513.640
80.030	-36.253	514.103
80.052	-38.989	514.569
80.071	-41.597	515.017
80.049	-43.988	515.469
80.018	-46.276	515.969
80.044	-48.174	516.335
80.081	-49.998	516.688
80.060	-51.620	517.054
79.965	-52.984	517.494
80.062	-54.118	517.639
79.939	-55.092	518.032
80.052	-55.944	518.038
79.963	-56.635	518.268
79.968	-57.004	518.402
79.981	-57.203	518.446
79.967	-57.199	518.454
79.948	-56.989	518.430
79.949	-56.667	518.301
80.048	-55.966	518.057
79.964	-55.171	518.004
79.981	-54.147	517.726
79.946	-52.915	517.500
80.042	-51.547	517.016
80.028	-49.769	516.689
80.073	-48.004	516.246
80.053	-45.990	515.797
80.054	-43.735	515.358
80.064	-41.322	514.924
79.973	-38.699	514.528
79.958	-35.961	514.113
80.039	-33.107	513.464
80.035	-30.123	512.920
80.047	-26.967	512.431
80.144	-23.664	511.791
80.105	-20.161	511.295
80.158	-16.480	510.769
79.023	-10.306	509.870
78.144	-4.238	508.930
78.116	-0.266	508.412
79.097	1.807	508.419
79.062	6.026	508.063
79.039	10.288	507.740
79.111	14.739	507.336
79.074	19.148	507.151
79.052	23.594	507.101
79.127	28.254	506.727
79.166	32.818	506.562
79.230	37.299	506.523
79.206	41.998	506.379
79.281	46.476	506.510
79.261	51.141	506.650
79.282	55.740	506.512
79.377	60.066	506.956
79.391	64.688	507.012
79.377	69.333	507.067
