FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:12:55.637	115575.15614330
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
104.984	48.820	435.372
105.030	52.386	435.560
105.062	55.987	435.739
105.140	59.385	435.933
105.097	62.989	436.179
105.058	66.330	436.469
105.079	69.796	436.706
105.068	72.991	437.052
105.177	76.275	437.187
105.102	79.552	437.573
105.155	82.616	437.930
105.147	85.603	438.188
105.205	88.683	438.588
105.132	91.630	438.981
105.049	94.387	439.378
105.092	96.979	439.661
105.092	99.587	439.999
105.041	102.095	440.395
104.976	104.358	440.731
104.919	106.649	441.114
104.863	108.787	441.472
104.802	110.738	441.818
104.741	112.549	442.107
104.675	114.221	442.374
104.698	115.770	442.606
104.646	117.220	442.861
104.645	118.381	443.033
104.620	119.537	443.229
104.542	120.635	443.460
104.548	121.353	443.566
104.465	121.980	443.704
104.474	122.570	443.783
104.444	122.903	443.847
104.363	123.042	443.902
104.383	123.150	443.899
104.364	123.047	443.870
104.291	122.733	443.839
104.329	122.351	443.739
104.273	121.726	443.640
104.261	120.990	443.492
104.235	120.095	443.314
104.251	119.022	443.111
104.257	117.820	442.894
104.263	116.557	442.666
104.347	115.083	442.427
104.383	113.496	442.141
104.440	111.786	441.835
104.413	109.951	441.530
104.494	107.970	441.217
104.571	105.800	440.894
104.631	103.552	440.556
104.745	101.145	440.158
104.732	98.609	439.820
104.809	96.012	439.529
104.863	93.353	439.169
104.966	90.606	438.822
105.010	87.601	438.429
105.046	84.552	438.027
105.095	81.610	437.785
105.122	78.407	437.427
105.218	75.239	437.046
105.165	71.966	436.860
105.278	68.665	436.567
105.203	65.294	436.354
105.376	61.843	436.069
105.415	58.509	435.869
105.405	54.966	435.681
105.381	51.505	435.529
105.388	47.940	435.358
105.406	44.489	435.217
105.475	41.025	435.154
105.482	37.404	435.085
105.457	34.061	435.063
105.445	30.488	434.995
105.460	27.068	435.001
105.510	23.635	434.995
105.433	20.383	435.061
105.514	17.131	435.134
105.460	13.832	435.263
105.448	10.560	435.378
105.429	7.441	435.477
105.363	4.416	435.634
105.383	1.383	435.749
105.438	-1.373	435.906
105.417	-4.228	436.074
105.487	-6.875	436.311
105.554	-9.209	436.509
105.529	-11.784	436.684
105.507	-14.105	436.911
105.485	-16.545	437.065
105.522	-18.463	437.269
105.559	-20.490	437.477
105.482	-22.428	437.651
105.737	-23.915	437.832
105.725	-25.512	438.038
105.921	-26.743	438.189
105.928	-28.071	438.374
105.742	-29.329	438.448
105.925	-30.116	438.596
105.905	-31.086	438.694
106.083	-31.646	438.781
106.153	-32.046	438.849
106.144	-32.403	438.898
106.091	-32.661	438.925
106.131	-32.693	438.921
106.145	-32.592	438.914
106.269	-32.297	438.855
106.208	-31.972	438.797
106.349	-31.326	438.770
106.268	-30.639	438.688
106.270	-29.625	438.547
106.468	-28.532	438.514
106.334	-27.476	438.316
106.318	-26.096	438.211
106.246	-24.775	437.971
106.142	-23.162	437.871
106.136	-21.471	437.623
106.112	-19.506	437.455
106.028	-17.463	437.261
106.099	-15.244	437.072
105.995	-13.080	436.817
105.836	-10.741	436.610
105.855	-8.232	436.431
105.779	-5.560	436.264
105.719	-3.027	436.074
105.708	-0.152	435.872
105.570	2.699	435.699
105.487	5.642	435.539
105.409	8.713	435.397
105.374	11.945	435.273
105.409	15.142	435.261
105.306	18.313	435.152
105.257	21.621	435.069
105.229	24.986	435.000
105.161	28.437	434.966
105.118	31.734	434.972
105.026	35.254	435.017
104.981	38.660	435.081
104.973	42.152	435.175
104.917	45.523	435.224
104.855	49.059	435.374
104.876	52.557	435.546
104.919	56.006	435.701
104.932	59.396	435.898
104.860	62.851	436.148
104.829	66.139	436.399
104.836	69.517	436.648
104.925	72.667	436.946
104.940	75.875	437.137
104.885	79.079	437.495
104.946	82.088	437.845
104.976	84.998	438.128
104.960	87.926	438.495
105.006	90.867	438.876
104.932	93.576	439.232
104.972	96.083	439.561
104.953	98.587	439.870
104.986	101.035	440.218
104.990	103.296	440.561
104.963	105.479	440.910
104.924	107.588	441.266
104.897	109.506	441.592
104.868	111.257	441.881
104.885	112.879	442.149
104.824	114.419	442.396
104.825	115.780	442.616
104.797	117.025	442.839
104.767	118.105	443.045
104.738	119.064	443.215
104.711	119.862	443.344
104.693	120.516	443.465
104.660	120.994	443.569
104.638	121.318	443.616
104.634	121.434	443.603
104.604	121.469	443.604
104.561	121.347	443.575
104.463	120.999	443.531
104.483	120.648	443.432
104.423	120.037	443.302
104.369	119.247	443.178
104.320	118.390	443.014
104.337	117.332	442.809
104.357	116.187	442.587
104.424	114.966	442.396
104.364	113.448	442.145
104.348	111.908	441.874
104.354	110.144	441.546
104.333	108.369	441.272
104.386	106.391	440.977
104.419	104.304	440.641
104.456	102.012	440.301
104.529	99.651	440.010
104.582	97.186	439.633
104.600	94.684	439.290
104.662	92.103	438.975
104.680	89.340	438.631
104.743	86.351	438.248
104.869	83.434	437.955
104.859	80.499	437.650
104.939	77.386	437.294
104.945	74.229	436.931
105.048	71.070	436.750
105.116	67.821	436.499
105.127	64.552	436.273
105.216	61.122	435.995
105.350	57.867	435.817
105.408	54.395	435.632
105.373	51.017	435.499
105.376	47.480	435.331
105.459	44.148	435.217
105.539	40.711	435.131
105.582	37.201	435.082
105.582	33.798	435.090
105.593	30.425	434.994
105.634	27.073	435.006
105.711	23.746	435.029
105.669	20.594	435.096
105.646	17.316	435.155
105.715	14.210	435.272
105.678	10.953	435.356
105.695	7.909	435.437
105.668	4.991	435.544
105.611	2.034	435.720
105.697	-0.678	435.862
105.738	-3.395	436.080
105.555	-5.971	436.268
105.542	-8.555	436.413
105.644	-10.821	436.623
105.598	-13.230	436.802
105.567	-15.295	436.986
105.510	-17.412	437.146
105.467	-19.289	437.348
105.537	-21.092	437.503
105.482	-22.775	437.706
105.536	-24.256	437.810
105.555	-25.637	438.017
105.609	-26.796	438.162
105.667	-27.796	438.253
105.720	-28.749	438.397
105.825	-29.407	438.467
105.777	-30.028	438.565
105.741	-30.584	438.607
105.703	-31.081	438.627
105.732	-31.230	438.657
105.835	-31.169	438.682
105.724	-31.183	438.645
106.000	-30.684	438.656
105.950	-30.191	438.567
105.982	-29.617	438.480
106.172	-28.826	438.480
106.005	-28.147	438.316
106.152	-26.903	438.196
106.110	-25.842	438.141
106.075	-24.471	437.900
106.004	-23.169	437.839
106.162	-21.531	437.638
106.102	-19.773	437.479
106.056	-17.866	437.319
106.193	-15.834	437.098
105.991	-13.796	436.860
106.061	-11.495	436.728
106.112	-9.182	436.557
106.005	-6.783	436.330
105.944	-4.216	436.124
105.843	-1.555	435.945
105.811	1.112	435.859
105.740	3.937	435.706
105.723	6.886	435.552
105.670	9.893	435.423
105.642	13.082	435.291
105.512	16.169	435.188
105.517	19.317	435.133
105.469	22.591	435.056
105.434	25.853	435.080
105.334	29.179	435.006
105.259	32.442	435.016
105.194	35.839	435.029
105.065	39.221	435.098
105.044	42.614	435.211
104.965	45.935	435.254
104.974	49.475	435.351
104.913	52.827	435.577
104.887	56.186	435.697
104.886	59.530	435.911
104.770	62.872	436.126
104.743	66.128	436.398
104.693	69.392	436.656
104.772	72.462	436.893
104.667	75.508	437.173
104.698	78.719	437.448
104.720	81.587	437.786
104.765	84.488	438.106
104.739	87.361	438.403
104.769	90.258	438.757
104.787	92.800	439.082
104.777	95.315	439.422
104.758	97.751	439.768
104.775	100.070	440.074
104.822	102.343	440.394
104.805	104.447	440.731
104.770	106.456	441.053
104.796	108.342	441.373
104.808	110.037	441.677
104.789	111.642	441.969
104.857	113.140	442.178
104.797	114.427	442.395
104.817	115.609	442.600
104.831	116.634	442.789
104.831	117.545	442.944
104.812	118.304	443.091
104.813	118.929	443.195
104.806	119.385	443.278
104.795	119.688	443.328
104.777	119.883	443.357
104.755	119.881	443.362
104.735	119.716	443.332
104.685	119.425	443.270
104.667	118.994	443.192
104.633	118.372	443.067
104.669	117.551	442.884
104.572	116.636	442.726
104.545	115.615	442.523
104.566	114.478	442.345
104.504	113.276	442.186
104.469	111.841	441.897
104.428	110.323	441.630
104.456	108.571	441.328
104.430	106.731	440.998
104.487	104.783	440.702
104.492	102.700	440.373
104.477	100.460	440.125
104.529	98.147	439.772
104.545	95.737	439.442
104.570	93.280	439.107
104.514	90.677	438.797
104.560	88.030	438.444
104.615	85.079	438.143
104.661	82.159	437.829
104.678	79.327	437.495
104.781	76.275	437.146
104.781	73.175	436.864
104.836	70.096	436.603
104.882	66.918	436.408
104.948	63.734	436.212
105.050	60.350	435.901
105.138	57.130	435.748
105.204	53.762	435.641
105.214	50.417	435.441
105.261	46.993	435.302
105.302	43.722	435.177
105.354	40.357	435.106
105.455	36.899	435.038
105.548	33.655	435.083
105.573	30.325	434.983
105.629	27.036	435.004
105.725	23.791	435.027
105.728	20.696	435.082
105.746	17.521	435.167
105.806	14.453	435.199
105.834	11.353	435.293
105.751	8.392	435.414
105.793	5.470	435.567
105.831	2.670	435.722
105.841	-0.083	435.885
105.893	-2.716	436.086
105.780	-5.155	436.249
105.782	-7.632	436.350
105.857	-9.897	436.612
105.813	-12.116	436.739
105.865	-14.127	436.918
105.850	-16.220	437.057
105.815	-17.989	437.289
105.808	-19.772	437.411
105.715	-21.355	437.553
105.634	-22.925	437.736
105.759	-24.118	437.840
105.740	-25.305	438.003
105.757	-26.278	438.141
105.736	-27.174	438.175
105.755	-27.839	438.306
105.825	-28.481	438.412
105.803	-28.860	438.444
105.711	-29.242	438.479
105.750	-29.375	438.469
105.881	-29.271	438.486
105.818	-29.157	438.464
105.791	-28.908	438.434
105.884	-28.478	438.411
105.755	-27.885	438.265
105.791	-27.190	438.177
105.894	-26.236	438.150
105.800	-25.338	438.038
105.900	-24.089	437.866
105.951	-22.738	437.803
105.919	-21.286	437.606
105.964	-19.736	437.488
105.872	-18.040	437.323
106.053	-16.150	437.097
105.896	-14.250	436.946
105.922	-12.151	436.771
105.964	-9.947	436.615
105.852	-7.756	436.367
105.926	-5.241	436.274
105.965	-2.816	436.080
105.980	-0.172	435.885
105.930	2.560	435.731
105.828	5.303	435.548
105.815	8.100	435.458
105.894	11.178	435.425
105.798	14.201	435.309
105.700	17.246	435.196
105.634	20.347	435.109
105.632	23.444	435.054
105.560	26.727	435.059
105.500	29.957	435.054
105.475	33.186	435.063
105.442	36.496	435.046
105.338	39.873	435.094
105.258	43.092	435.244
105.202	46.410	435.298
105.127	49.816	435.373
105.043	53.052	435.581
105.022	56.394	435.738
104.969	59.633	435.940
104.866	62.953	436.146
104.791	66.058	436.396
104.733	69.316	436.637
104.780	72.250	436.864
104.669	75.245	437.132
104.653	78.373	437.394
104.668	81.190	437.726
104.679	84.031	438.028
104.609	86.794	438.316
104.583	89.583	438.667
104.606	92.164	438.986
104.588	94.534	439.290
104.584	96.882	439.613
104.569	99.136	439.943
104.567	101.357	440.252
104.596	103.491	440.560
104.569	105.407	440.845
104.597	107.192	441.144
104.609	108.827	441.446
104.594	110.452	441.728
104.636	111.806	441.963
104.677	113.147	442.151
104.676	114.226	442.335
104.635	115.193	442.513
104.710	116.093	442.654
104.761	116.789	442.787
104.767	117.359	442.911
104.783	117.775	442.982
104.792	118.079	443.042
104.796	118.231	443.082
104.786	118.209	443.078
104.790	118.063	443.045
104.819	117.728	442.983
104.791	117.273	442.904
104.811	116.694	442.791
104.789	115.946	442.646
104.771	115.110	442.488
104.740	114.055	442.278
104.708	112.884	442.122
104.702	111.606	441.919
104.671	110.203	441.624
104.670	108.623	441.370
104.698	106.928	441.084
104.703	105.108	440.765
104.724	103.158	440.472
104.738	101.140	440.146
104.637	98.909	439.876
104.640	96.652	439.587
104.680	94.322	439.247
104.647	91.937	438.960
104.617	89.351	438.630
104.635	86.555	438.271
104.687	83.824	437.991
104.658	80.998	437.679
104.613	78.172	437.341
104.659	75.118	437.080
104.763	72.175	436.758
104.677	69.149	436.560
104.723	65.975	436.342
104.793	62.878	436.104
104.885	59.579	435.899
104.952	56.386	435.673
104.947	53.083	435.569
105.012	49.860	435.375
105.042	46.480	435.272
105.168	43.351	435.220
105.190	39.988	435.070
105.286	36.650	435.033
105.261	33.438	435.033
105.396	30.186	434.964
105.456	27.032	434.987
105.562	23.796	434.994
105.586	20.750	435.059
105.643	17.694	435.131
105.771	14.720	435.207
105.779	11.670	435.268
105.691	8.790	435.397
105.791	5.902	435.539
105.831	3.219	435.723
105.909	0.500	435.888
105.886	-1.966	436.049
105.919	-4.439	436.120
106.091	-6.734	436.314
106.060	-8.911	436.521
106.012	-11.126	436.673
106.003	-13.226	436.821
106.110	-14.975	437.020
106.009	-16.912	437.153
